event_id,training_day,resource_type
FAM2101,14,utd
FAM2102,15,utd
FAM2201,16,utd
FAM2202,17,utd
IN1104,18,classroom
I2101,19,utd
I2102,20,utd
I2103,21,utd
FAM3101,22,oft
FAM3102,23,oft
FAM3103,24,oft
FAM6101,25,vtd
FAM6102,26,vtd
FAM6201,27,vtd
FAM6202,28,vtd
FAM6203,29,vtd
FAM6301,30,vtd
FAM6302,31,vtd
FAM1301,32,aircraft
FAM4101,33,aircraft
FAM4102,34,aircraft
FAM4103,35,aircraft
FAM4104,36,aircraft
FAM3201,37,oft
FAM3202,38,oft
FAM3301,39,oft
FAM6401,40,vtd
FAM6402,41,vtd
FAM4201,42,aircraft
FAM4202,43,aircraft
FAM1206,44,classroom
FAM4203,45,aircraft
FAM4204,46,aircraft
FAM4301,47,aircraft
FAM4302,48,aircraft
FAM4303,49,aircraft
FAM4304,50,aircraft
FAM4490,51,aircraft
FAM4501,52,aircraft
