event_id,training_day,resource_type
I2201,68,utd
I2202,69,utd
I2203,70,utd
N3101,71,oft
N6101,72,vtd
I6101,73,vtd
I6102,74,vtd
I3101,75,utd
I3102,76,utd
I3103,77,utd
I3104,78,oft
I6201,79,vtd
I6202,80,vtd
I4101,81,aircraft
I4102,82,aircraft
I4103,83,aircraft
SY0302,84,classroom
I3201,85,utd
I3202,86,utd
I3203,87,oft
I3204,88,oft
I3205,89,oft
I3206,90,oft
I6301,91,vtd
I4201,92,aircraft
I4202,93,aircraft
I4203,94,aircraft
I4204,95,aircraft
I4301,96,aircraft
I4302,97,aircraft
I4303,98,aircraft
I4304,99,aircraft
I4490,100,aircraft
N4101,101,aircraft
FAM4601,102,aircraft
