event_id,training_day,resource_type
G0101, 1, classroom
G6001, 1, classroom
G0107, 2, classroom
SY0101, 2, classroom
SY0102, 2, classroom
SY0106, 3, classroom
SY0112, 4, classroom
SY0190, 5, classroom
SY0203, 5, classroom
SY0206, 6, classroom
G0106, 6, classroom
SY0290, 7, classroom
G0104, 7, classroom
G0105, 7, classroom
SY0301, 8, classroom
PR0101, 8, classroom
PR0102B, 8, classroom
PR0103, 9, classroom
PR0104, 9, classroom
PR0105, 9, classroom
FAM1106, 10, classroom
FAM1190, 11, classroom
FAM1203, 11, classroom
FAM1290, 12, classroom
G0201, 12, classroom
G0103, 12, classroom
G0290, 13, classroom
G0102, 13, classroom
