name,start_date,end_date
Thanksgiving,2025-11-27,2025-11-30
Christmas,2025-12-25,2025-12-28
New Years,2026-01-01,2026-01-04
July 4th,2025-07-03,2025-07-06
Columbus Day,2025-10-11,2025-10-13
MLK Day,2025-01-17,2025-01-19
Presidents Day,2025-02-14,2025-02-16
Memorial Day,2025-05-23,2025-05-25
Juneteenth,2025-06-19,2025-06-21
Labor Day,2025-09-05,2025-09-07
Veterans Day,2025-11-11,2025-11-11
Thanksgiving,2026-11-26,2026-11-29
Christmas,2026-12-24,2026-12-27
New Years,2026-12-31,2027-01-03
July 4th,2026-07-03,2026-07-06
Columbus Day,2026-10-10,2026-10-12
MLK Day,2026-01-17,2026-01-19
Presidents Day,2026-02-14,2026-02-16
Memorial Day,2026-05-23,2026-05-25
Juneteenth,2026-06-19,2026-06-21
Labor Day,2026-09-05,2026-09-07
Veterans Day,2026-11-11,2026-11-11
Thanksgiving,2027-11-25,2027-11-28
Christmas,2027-12-24,2027-12-27
New Years,2027-12-30,2028-01-02
July 4th,2027-07-02,2027-07-05
Columbus Day,2027-10-09,2027-10-11
MLK Day,2027-01-16,2027-01-18
Presidents Day,2027-02-13,2027-02-15
Memorial Day,2027-05-29,2027-05-31
Juneteenth,2027-06-18,2027-06-20
Labor Day,2027-09-04,2027-09-06
Veterans Day,2027-11-11,2027-11-14
